Station ID,Climate ID,Name,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Province
59,1015109,METCHOSIN MOUNTAIN,48.4,-123.53,BC
60,1015111,METCHOSIN PARRY BAY,48.38,-123.5,BC
61,1015134,MILL BAY KILMALU,48.65,-123.55,BC
62,1015136,MILL BAY 1 SOUTHWEST,48.64,-123.56,BC
63,1015150,MILLSTREAM,48.48,-123.55,BC
64,1015160,MILNES LANDING,48.35,-123.73,BC
65,1015242,MUIR CREEK 1W,48.38,-123.88,BC
66,1015628,NORTH COWICHAN,48.82,-123.72,BC
67,1015630,NORTH COWICHAN,48.82,-123.72,BC
68,1015638,NORTH PENDER ISLAND,48.76,-123.29,BC
69,1016120,PENDER ISLAND,48.77,-123.3,BC
70,1016169,PIERS ISLAND,48.7,-123.42,BC
71,1016203,POINT-NO-POINT,48.41,-123.99,BC
72,1016335,PORT RENFREW,48.59,-124.33,BC
73,1016640,RACE ROCKS,48.3,-123.53,BC
74,1016641,RACE ROCKS LIGHTSTATION,48.3,-123.53,BC
75,1016780,RIVER JORDAN,48.42,-124.05,BC
76,1016940,SAANICHTON CDA,48.62,-123.42,BC
77,1016941,SAANICH CAMOSUN COLLEGE,48.5,-123.42,BC
78,1016942,SAANICH DENSMORE,48.5,-123.4,BC
79,1016943,SAANICHTON CFIA,48.62,-123.42,BC
80,1016980,SALTAIR,48.97,-123.77,BC
81,1016990,SALTSPRING ISLAND,48.85,-123.5,BC
82,1016992,SALTSPRING IS CUSHEON LK,48.82,-123.48,BC
83,1016995,SALTSPRING ST MARY'S L,48.89,-123.55,BC
84,10169DK,SAANICH DOM ASTRO OBS,48.52,-123.42,BC
85,10169MK,SAANICH OLDFIELD,48.55,-123.42,BC
86,1016RM0,SAANICHTON MT NEWTON,48.6,-123.43,BC
87,1017000,SALTSPRING VESUVIUS,48.88,-123.57,BC
88,1017098,SATURNA CAPMON,48.78,-123.13,BC
89,1017099,SATURNA CAPMON CS,48.78,-123.13,BC
90,1017101,SATURNA ISLAND CS,48.78,-123.04,BC
91,1017230,SHAWNIGAN LAKE,48.65,-123.63,BC
92,1017233,SHAWNIGAN LAKE NORTH,48.65,-123.63,BC
93,1017254,SHERINGHAM POINT,48.38,-123.92,BC
94,1017329,SIDNEY DEEP COVE,48.68,-123.4,BC
95,1017556,SOOKE,48.37,-123.73,BC
96,1017559,SOOKE GLINZ LAKE,48.42,-123.63,BC
97,1017560,SOOKE LAKE,48.52,-123.7,BC
98,1017563,SOOKE LAKE NORTH,48.58,-123.64,BC
99,1017570,SOOKE OTTER POINT,48.37,-123.82,BC
100,1017575,SOOKE SASEENOS,48.38,-123.67,BC
101,1017610,SOUTH PENDER ISLAND 2,48.75,-123.22,BC
102,1018238,TRIAL ISLAND,48.4,-123.3,BC
103,1018590,VICTORIA AMROTH PLACE,48.45,-123.28,BC
104,1018592,VICTORIA ARDMORE,48.63,-123.47,BC
105,1018595,VICTORIA BAY STREET,48.43,-123.37,BC
106,1018598,VICTORIA UNIVERSITY CS,48.46,-123.3,BC
107,1018600,VICTORIA CAREY ROAD,48.47,-123.47,BC
108,1018605,VICTORIA FRANCIS PARK,48.48,-123.44,BC
109,1018610,VICTORIA GONZALES HTS,48.41,-123.33,BC
110,1018611,VICTORIA GONZALES CS,48.41,-123.32,BC
111,1018614,VICTORIA GORDON HEAD,48.47,-123.3,BC
112,1018615,VICTORIA HARBOUR A,48.42,-123.39,BC
113,1018616,VICTORIA HIGHLAND,48.51,-123.51,BC
114,1018617,VICTORIA HOLLAND 2,48.48,-123.41,BC
115,1018618,VICTORIA HIGHLANDS NORTH,48.54,-123.5,BC
116,1018619,VICTORIA HARBOUR A,48.42,-123.39,BC
117,1018620,VICTORIA INT'L A,48.65,-123.43,BC
118,1018621,VICTORIA INTL A,48.65,-123.43,BC
119,1018629,VICTORIA JUBILEE,48.43,-123.33,BC
120,1018633,VICTORIA HARBOUR A,48.42,-123.39,BC
121,1018640,VICTORIA LANSDOWNE,48.43,-123.32,BC
122,1018642,VICTORIA MARINE,48.37,-123.75,BC
123,1018644,VICTORIA MUSGRAVE STREET,48.43,-123.3,BC
124,1018648,VICTORIA NORTH DAIRY RD,48.45,-123.33,BC
125,1018651,VICTORIA NORTHRIDGE,48.49,-123.4,BC
126,1018657,VICTORIA ROWLEY ROAD,48.47,-123.3,BC
127,1018658,VICTORIA SINCLAIR ROAD,48.47,-123.3,BC
128,1018660,VICTORIA TILLICUM,48.45,-123.39,BC
129,1018666,VICTORIA TUDOR AVENUE,48.45,-123.27,BC
130,1018935,WILLIAM HEAD,48.34,-123.54,BC
131,1018FF6,VICTORIA U VIC,48.47,-123.33,BC
132,1018FJ5,VICTORIA HARTLAND CS,48.53,-123.46,BC
133,1019010,YOUBOU,48.88,-124.22,BC
134,1019014,YOUBOU SCHOOL,48.88,-124.22,BC
135,101AE00,CHEMAINUS BARE POINT,48.92,-123.7,BC
136,101C04E,GALIANO SOUTH,48.87,-123.32,BC
137,101C0ME,GALIANO SOUTH 2,48.88,-123.35,BC
138,101F940,SAANICHTON MT NEWTON 2,48.6,-123.45,BC
139,101F942,SAANICH OLDFIELD NORTH,48.55,-123.42,BC
140,101G100,SATURNA ISLAND CAMPBELL SCIENTIFIC,48.78,-123.05,BC
141,101H6FF,VICTORIA WEST,48.43,-123.38,BC
142,101HF66,VICTORIA WILLOWS PARK,48.43,-123.3,BC
143,101HFEE,VICTORIA PHYLLIS STREET,48.46,-123.27,BC
144,101HFNE,VICTORIA PORTAGE INLET,48.45,-123.43,BC
145,101J9K0,CORDOVA BAY CLAREMOUNT,48.52,-123.37,BC
146,101Q655,VICTORIA PRINCESS AVE,48.43,-123.35,BC
147,101Q6NN,VICTORIA PROSPECT LAKE,48.52,-123.43,BC
148,101QF57,VICTORIA SHELBOURNE,48.47,-123.33,BC
149,101QFEG,VICTORIA SHORT STREET,48.45,-123.37,BC
150,1020270,ALERT BAY,50.58,-126.93,BC
151,1020590,BALLENAS ISLAND,49.35,-124.16,BC
152,1020880,BLACK CREEK,49.85,-125.13,BC
153,1020881,BLACK CREEK SE,49.8,-125.09,BC
154,1020885,BLIND CHANNEL,50.42,-125.5,BC
155,1020910,BOWSER,49.45,-124.67,BC
156,1021052,NANAIMO HARBOUR,49.17,-123.93,BC
157,1021230,CAMERON LAKE,49.28,-124.58,BC
158,1021250,CAMPBELL LAKE,50.02,-125.4,BC
159,1021260,CAMPBELL RIVER,50.02,-125.3,BC
160,1021261,CAMPBELL RIVER A,49.95,-125.27,BC
161,1021262,CAMPBELL RIVER BCFS,50.07,-125.32,BC
162,1021263,CAMPBELL RIVER BCHPA GEN,50.05,-125.32,BC
163,1021264,CAMPBELL R LAKEVIEW FC,50.2,-125.55,BC
164,1021265,CAMPBELL RIVER STP,50.02,-125.23,BC
165,1021266,CAMPBELL RIVER SURFSIDE,49.95,-125.21,BC
166,1021267,CAMPBELL RIVER A,49.95,-125.27,BC
167,1021270,CAMPBELL RIVER A,49.95,-125.27,BC
168,1021320,CAPE LAZO,49.7,-124.87,BC
169,1021330,CAPE MUDGE,50.0,-125.2,BC
170,1021332,CAPE MUDGE CS,50.0,-125.2,BC
171,1021480,CHATHAM POINT,50.33,-125.45,BC
172,1021500,CHROME ISLAND,49.47,-124.68,BC
173,1021616,CHROME ISLAND,49.47,-124.68,BC
174,1021737,COAL HARBOUR RUPERT IN,50.6,-127.5,BC
175,1021830,COMOX A,49.72,-124.9,BC
176,1021838,COMOX PCC,49.69,-125.03,BC
177,1021850,COOMBS,49.31,-124.43,BC
178,1021950,CORTES ISLAND,50.08,-125.03,BC
179,1021958,CORTES ISL SUTIL POINT,50.02,-124.98,BC
180,1021960,CORTES ISLAND TIBER BAY,50.07,-124.95,BC
181,1021988,COURTENAY GRANTHAM,49.76,-125.0,BC
182,1021989,COURTENAY PUNTLEDGE,49.69,-125.03,BC
183,1021990,COURTENAY PUNTLEDGE BCHP,49.68,-125.03,BC
184,1021994,COURTENAY SANDWICK,49.7,-124.97,BC
185,1022250,CUMBERLAND,49.62,-125.03,BC
186,1022430,DENMAN ISLAND,49.52,-124.78,BC
187,1022433,DENMAN ISLAND EAST SHORE,49.52,-124.74,BC
188,1022436,DENMAN ISLAND 2,49.55,-124.8,BC
189,1022560,DUNCAN BAY,50.07,-125.28,BC
190,1022571,DUNCAN GLENORA,48.76,-123.77,BC
191,1022688,ENTRANCE ISLAND,49.2,-123.8,BC
192,1022689,ENTRANCE ISLAND,49.21,-123.81,BC
193,1022795,FANNY ISLAND,50.45,-125.99,BC
194,1023037,FRENCH CREEK,49.35,-124.37,BC
195,1023042,GABRIOLA ISLAND,49.15,-123.73,BC
196,1023462,HERIOT BAY SE,50.1,-125.2,BC
197,1023471,HILLIERS,49.3,-124.5,BC
198,1023590,HORNBY ISLAND,49.53,-124.6,BC
199,1024005,KELSEY BAY,50.38,-125.95,BC
200,1024485,LADYSMITH,48.95,-123.65,BC
201,1024590,LASQUETI ISLAND,49.5,-124.33,BC
202,1024592,LAZO,49.73,-124.9,BC
203,1024637,LITTLE QUALICUM,49.35,-124.78,BC
204,1024638,LITTLE QUALICUM HATCHERY,49.35,-124.51,BC
205,1024639,LITTLE QUALICUM R ESTY,49.37,-124.48,BC
206,1024642,LITTLE QUALICUM RIVER GANSKE ROAD,49.37,-124.5,BC
207,1025230,MT WASHINGTON,49.75,-125.29,BC
208,1025234,MT WASHINGTON RESORT,49.75,-125.29,BC
209,1025237,MT WASHINGTON UPPER,49.75,-125.29,BC
210,1025240,MUD BAY,49.47,-124.79,BC
211,1025254,MYRA CREEK,49.58,-125.61,BC
212,1025340,NANAIMO,49.18,-123.97,BC
213,1025365,NANAIMO A,49.05,-123.87,BC
214,1025369,NANAIMO A,49.05,-123.87,BC
215,1025370,NANAIMO A,49.05,-123.87,BC
216,1025371,NANAIMO WATER RESERVOIR,49.15,-123.97,BC
217,1025375,NANOOSE BAY,49.28,-124.18,BC
218,1025376,NANOOSE BAY AUTO,49.27,-124.15,BC
219,1025377,NANOOSE BAY SOUTH,49.25,-124.18,BC
220,10253G0,NANAIMO CITY YARD,49.2,-123.99,BC
221,10253P0,NANAIMO CHUB,49.17,-123.93,BC
222,1025915,OYSTER RIVER UBC,49.88,-125.13,BC
223,1025970,PARKSVILLE,49.3,-124.3,BC
224,1025975,PARKSVILLE NORTHWEST,49.33,-124.33,BC
225,1025977,PARKSVILLE SOUTH,49.33,-124.3,BC
226,1025C70,NANAIMO DEPARTURE BAY,49.22,-123.95,BC
227,1026170,PINE ISLAND,50.98,-127.73,BC
228,1026266,PORT HARDY,50.67,-127.48,BC
229,1026270,PORT HARDY A,50.68,-127.37,BC
230,1026271,PORT HARDY A,50.68,-127.37,BC
231,1026274,PORT HARDY BEAVER HR,50.72,-127.43,BC
232,1026323,PORT MCNEILL,50.58,-127.08,BC
233,1026560,QUADRA ISLAND,50.18,-125.18,BC
234,1026562,QUALICUM BEACH AIRPORT,49.34,-124.39,BC
235,1026563,QUALICUM BEACH,49.33,-124.43,BC
236,1026564,QUALICUM BEACH YAMBURY,49.35,-124.38,BC
237,1026565,QUALICUM R FISH RESEARCH,49.39,-124.62,BC
238,1026639,QUINSAM RIVER HATCHERY,50.02,-125.3,BC
239,1027060,SANDWICK,49.75,-125.05,BC
240,1027110,SAVARY ISLAND,49.93,-124.85,BC
241,1027112,SAYWARD,50.37,-126.0,BC
242,1027114,SAYWARD 2,50.32,-125.93,BC
243,1027115,SAYWARD BIG TREE CREEK,50.23,-125.77,BC
244,1027403,SISTERS ISLAND,49.49,-124.43,BC
245,1027775,STRATHCONA DAM,50.0,-125.58,BC
246,10277GN,STRATHCONA PARK LODGE,49.88,-125.65,BC
247,1027870,SURGE NARROWS READ IS,50.22,-125.1,BC
248,1027871,SURGE NARROWS RENDEZVOUS,50.28,-125.07,BC
249,1028340,VANANDA,49.75,-124.58,BC
250,1028L3M,UPPER CAMPBELL LAKE,49.9,-125.63,BC
251,102BFHH,ENTRANCE ISLAND,49.21,-123.81,BC
252,102E3G0,NANAIMO NORTH,49.22,-123.98,BC
253,102ECG0,NANAIMO RIVER CAMP,49.08,-124.08,BC
254,102JR88,COURTENAY MEADOWBROOK,49.72,-124.98,BC
255,102PG75,STUART CHANNEL BOAT HARBOUR,49.09,-123.8,BC
256,1030180,ALBERNI BEAVER CREEK,49.37,-124.93,BC
257,1030185,ALBERNI CITY RESERVOIR,49.27,-124.78,BC
258,1030210,ALBERNI LUPSI CUPSI,49.25,-124.82,BC
259,1030220,ALBERNI MCCOY LAKE,49.28,-124.88,BC
260,1030230,ALBERNI ROBERTSON CREEK,49.34,-124.98,BC
261,1030425,AMPHITRITE POINT,48.92,-125.53,BC
262,1030426,AMPHITRITE POINT,48.92,-125.54,BC
263,1030550,ASH RIVER,49.47,-125.08,BC
264,1030552,ASH RIVER GENERATING STN,49.37,-125.15,BC
265,1030600,BAMFIELD,48.83,-125.1,BC
266,1030605,BAMFIELD EAST,48.83,-125.12,BC
267,1030610,BAMFIELD WEST,48.83,-125.15,BC
268,1030850,BENSON LAKE,50.37,-127.23,BC
269,1031110,BULL HARBOUR,50.92,-127.95,BC
270,1031316,CAPE BEALE LIGHT,48.79,-125.22,BC
271,1031352,CAPE SCOTT,50.8,-128.45,BC
272,1031353,CAPE SCOTT,50.78,-128.43,BC
273,1031400,CARMANAH,48.63,-124.78,BC
274,1031402,CARMANAH POINT,48.61,-124.75,BC
275,1031413,CARNATION CREEK CDF,48.9,-125.0,BC
276,1031650,CLAYOQUOT,49.15,-125.9,BC
277,1031844,CONUMA RIVER HATCHERY,49.8,-126.42,BC
278,1032660,ELK LAKE JEUNE LANDING,50.37,-127.3,BC
279,1032730,ESTEVAN POINT,49.38,-126.54,BC
280,1032731,ESTEVAN POINT CS,49.38,-126.54,BC
281,1033230,GOLD RIVER,49.67,-126.17,BC
282,1033232,GOLD RIVER TOWNSITE,49.78,-126.06,BC
283,1033292,GREAT CENTRAL LAKE,49.35,-125.15,BC
284,1033455,HENDERSON LAKE,49.13,-125.13,BC
285,1033456,HENDERSON LAKE HATCHERY,49.13,-125.14,BC
286,1033460,HERBERT INLET,49.4,-125.9,BC
287,1033479,HOLBERG,50.65,-128.0,BC
288,1033480,HOLBERG,50.65,-128.0,BC
289,1033481,HOLBERG CCR,50.63,-128.12,BC
290,1033483,HOLBERG FIRE DEPT,50.65,-127.98,BC
291,1033485,HOLBERG PUMP HOUSE,50.65,-128.0,BC
292,1034070,KENNEDY LAKE,49.13,-125.63,BC
293,1034170,KILDONAN,49.0,-125.0,BC
294,1034175,KILDONAN FATTY BASIN,48.98,-125.02,BC
295,1034440,KYUQUOT,50.03,-127.37,BC
296,1034600,LENNARD ISLAND,49.11,-125.92,BC
297,1034725,LOWRY LAKE,49.43,-125.13,BC
298,1034NR0,LAWN POINT (AUT),50.33,-127.97,BC
299,1035610,NITINAT LAKE,48.75,-124.75,BC
300,1035612,NITINAT RIVER HATCHERY,48.86,-124.66,BC
301,1035614,NOOTKA LIGHTSTATION,49.6,-126.62,BC
302,1035940,PACHENA POINT,48.72,-125.1,BC
303,1036205,PORT ALBERNI,49.23,-124.8,BC
304,1036206,PORT ALBERNI A,49.25,-124.83,BC
305,1036207,PORT ALBERNI CHINA CREEK,49.23,-124.78,BC
306,1036208,PORT ALBERNI COX LAKE,49.2,-124.75,BC
307,1036210,PORT ALBERNI REDFORD,49.25,-124.8,BC
308,1036218,PORT ALBERNI SHUHUM CREEK,49.3,-124.93,BC
309,1036240,PORT ALICE,50.39,-127.46,BC
310,1036243,PORT ALICE TOWNSITE,50.43,-127.48,BC
311,1036570,QUATSINO,50.53,-127.65,BC
312,1036572,QUATSINO LIGHTSTATION,50.44,-128.03,BC
313,1036907,RUMBLE BEACH,50.43,-127.48,BC
314,1036B06,PORT ALBERNI (AUT),49.32,-124.93,BC
315,1037090,SARTINE ISLAND (AUT),50.82,-128.91,BC
316,1037553,SOLANDER ISLAND (AUT),50.11,-127.94,BC
317,1037650,SPRING ISLAND,50.0,-127.42,BC
318,1037890,TAHSIS,49.92,-126.65,BC
319,1037899,TAHSIS VILLAGE NORTH,49.93,-126.65,BC
320,1038204,TOFINO A,49.08,-125.77,BC
321,1038205,TOFINO A,49.08,-125.77,BC
322,1038206,TOFINO CATFACE MOUNTAIN,49.27,-125.97,BC
323,1038207,TOFINO VILLAGE,49.15,-125.91,BC
324,1038210,TOFINO A,49.08,-125.77,BC
325,1038240,TRIANGLE ISLAND,50.87,-129.08,BC
326,1038330,UCLUELET,48.97,-125.53,BC
327,1038331,UCLUELET BRYNNOR MINES,49.05,-125.43,BC
328,1038332,UCLUELET KENNEDY CAMP,48.95,-125.53,BC
329,1038964,WINTER HARBOUR,50.52,-128.03,BC
330,1039030,ZEBALLOS,49.98,-126.85,BC
331,1039035,ZEBALLOS MURAUDE CREEK,50.05,-126.78,BC
332,1039040,ZEBALLOS IRON MINES,50.03,-126.82,BC
333,103EFJ0,NITINAT LAKE (AUT),48.67,-124.83,BC
334,1040390,ALTA LAKE,50.15,-122.95,BC
335,1040400,ALTA LAKE NORTHAIR MINE,50.12,-123.1,BC
336,1040420,ALTA LAKE 2,50.15,-122.98,BC
337,1040445,ANVIL ISLAND,49.52,-123.3,BC
338,1040908,BOWEN ISLAND,49.35,-123.42,BC
339,1040909,BOWEN ISL ARBUTUS BAY,49.33,-123.38,BC
340,104090R,BOWEN ISLAND BOWEN BAY,49.36,-123.42,BC
341,1040911,BOWEN ISLAND CATES BAY,49.41,-123.32,BC
342,104091A,BOWEN ISLAND JOSEPHINE RIDGE,49.37,-123.38,BC
343,104091B,BOWEN ISLAND SUNSET PARK,49.36,-123.4,BC
344,1040R09,BOWEN ISLAND MILLERS LDG,49.39,-123.33,BC
345,1040R1J,BOWEN ISLAND KILLARNEY LAKE,49.4,-123.37,BC
346,1041050,BRITANNIA BEACH FURRY CR,49.58,-123.22,BC
347,1041100,BUCCANEER BAY,49.48,-123.97,BC
348,1041380,CAPILANO INTAKE,49.4,-123.15,BC
349,1041490,CHEEKYE,49.8,-123.15,BC
350,1041710,CLOWHOM FALLS,49.72,-123.53,BC
351,1042255,DAISY LAKE DAM,49.98,-123.13,BC
352,1042470,DESERTED BAY,50.1,-123.73,BC
353,1043048,GAMBIER HARBOUR,49.44,-123.43,BC
354,1043060,GARIBALDI,49.98,-123.13,BC
355,1043150,GIBSONS,49.4,-123.51,BC
356,1043152,GIBSONS GOWER POINT,49.39,-123.54,BC
357,1043304,GRIEF POINT,49.8,-124.53,BC
358,1043320,HALFMOON BAY,49.52,-123.92,BC
359,1043321,HALFMOON BAY MIDDLE PT,49.58,-124.0,BC
360,10433B0,HALFMOON BAY,49.52,-123.9,BC
361,1043504,HOLLYBURN,49.32,-123.17,BC
362,1043582,HOPKINS LANDING,49.47,-123.48,BC
363,1043722,JERVIS INLET VANC BAY,49.92,-123.87,BC
364,1044680,LOIS LAKE,49.87,-124.15,BC
365,1044710,LOIS RIVER DAM,49.8,-124.32,BC
366,1044732,LUND,49.98,-124.77,BC
367,1044840,MALIBU JERVIS INLET,50.17,-123.85,BC
368,1045100,MERRY ISLAND LIGHTSTATION,49.47,-123.91,BC
369,1045101,MERRY ISLAND,49.47,-123.92,BC
370,1045440,NELSON ISLAND,49.7,-124.08,BC
371,1045960,PARADISE VALLEY,49.82,-123.15,BC
372,10459NN,HOWE SOUND - PAM ROCKS,49.49,-123.3,BC
373,1046115,PENDER HARBOUR,49.63,-124.03,BC
374,1046330,PORT MELLON,49.52,-123.48,BC
375,1046332,PORT MELLON,49.53,-123.5,BC
376,1046360,POWELL LAKE,50.1,-124.47,BC
377,1046390,POWELL RIVER,49.88,-124.55,BC
378,1046391,POWELL RIVER A,49.83,-124.5,BC
379,1046392,POWELL RIVER,49.83,-124.5,BC
380,1046395,POWELL RIVER A,49.83,-124.5,BC
381,1046396,POWELL RIVER A,49.83,-124.5,BC
382,1046400,POWELL RIVER GRIEF POINT,49.8,-124.52,BC
383,1046410,POWELL RIVER WESTVIEW,49.83,-124.52,BC
384,1046791,ROBERTS CREEK,49.4,-123.68,BC
385,1046795,ROBERTS CREEK EAST,49.43,-123.62,BC
386,1047170,SECHELT,49.47,-123.77,BC
387,1047172,SECHELT AUT,49.46,-123.72,BC
388,1047176,SECHELT SANDY HOOK,49.53,-123.77,BC
389,1047179,SECHELT 5WEST,49.47,-123.81,BC
390,1047660,SQUAMISH,49.7,-123.13,BC
391,1047662,SQUAMISH FMC CHEMICALS,49.68,-123.17,BC
392,1047669,SQUAMISH ST DAVIDS,49.75,-123.0,BC
393,1047670,SQUAMISH STP,49.73,-123.15,BC
394,1047671,SQUAMISH STP CENTRAL,49.7,-123.16,BC
395,1047672,SQUAMISH UPPER,49.9,-123.28,BC
396,1047673,SQUAMISH 10 MILE,49.82,-123.2,BC
397,10476F0,SQUAMISH AIRPORT,49.78,-123.16,BC
398,1047770,STILLWATER POWER HOUSE,49.77,-124.32,BC
399,1047F6B,SQUAMISH GARIBALDI,49.73,-123.15,BC
400,1047FF0,SQUAMISH AIRPORT,49.78,-123.16,BC
401,1048140,TEXADA ISLAND A,49.7,-124.52,BC
402,1048310,TUNNEL CAMP,49.62,-123.13,BC
403,1048816,WEST REDONDA ISLAND,50.25,-124.82,BC
404,1048898,WHISTLER,50.13,-122.95,BC
405,1048899,WHISTLER A,50.13,-122.95,BC
406,1048974,WOODFIBRE,49.58,-123.89,BC
407,1048975,WOODFIBRE HENRIETTA LK,49.68,-123.32,BC
408,104G660,SQUAMISH ASHLU CREEK,49.95,-123.42,BC
409,104LC3N,HARDY ISLAND,49.73,-124.18,BC
410,104PF64,SQUAMISH PARADISE VALLEY,49.83,-123.15,BC
411,1051350,CAPE ST JAMES,51.93,-131.02,BC
412,1051351,CAPE ST JAMES,51.94,-131.02,BC
413,1051630,CINOLA MINE SITE,53.5,-132.13,BC
414,1052310,DEAD TREE POINT,53.37,-131.93,BC
415,1052639,EDEN LAKE,53.87,-132.73,BC
416,1053608,HOSKINS ISLET,52.53,-131.55,BC
417,1053645,IKEDA BAY,52.28,-131.12,BC
418,1054222,KINDAKUN ROCKS (AUT),53.32,-132.77,BC
419,1054500,LANGARA,54.26,-133.06,BC
420,1054503,LANGARA ISLAND RCS,54.26,-133.06,BC
421,1054920,MASSET AIRPORT,54.02,-132.12,BC
422,1054921,MASSET A,54.03,-132.13,BC
423,1054925,MASSET A,54.0,-132.17,BC
424,1054926,MASSET INDIAN DAY SCHOOL,54.03,-132.18,BC
425,1054929,MASSET A,54.03,-132.13,BC
426,10549BN,MASSET CFS,54.03,-132.07,BC
427,1054RKF,MASSET TOW HILL,54.03,-131.97,BC
428,10551R8,MORESBY ISLAND MITCHELL INLET,52.93,-132.13,BC
429,1055950,PALLANT CREEK,53.05,-132.05,BC
430,1056250,PORT CLEMENTS,53.68,-132.18,BC
431,1056590,QUEEN CHARLOTTE CITY,53.25,-132.08,BC
432,1056742,RENNELL SOUND,53.3,-132.42,BC
433,1056869,ROSE SPIT (AUT),54.16,-131.66,BC
434,1057050,SANDSPIT A,53.25,-131.81,BC
435,1057051,SANDSPIT AIRPORT AUTO,53.25,-131.81,BC
436,1057052,SANDSPIT,53.25,-131.81,BC
437,1057055,SANDSPIT AWOS,53.25,-131.81,BC
438,1057133,SCUDDER POINT,52.45,-131.23,BC
439,1057192,SEWELL INLET,52.88,-131.98,BC
440,1058003,TASU SOUND,52.77,-132.05,BC
441,1058190,TLELL,53.5,-131.95,BC
442,105PA91,SEWALL MASSET INLET,53.76,-132.3,BC
443,1060080,ADDENBROKE ISLAND,51.6,-127.86,BC
444,1060330,ALICE ARM,55.68,-129.5,BC
445,1060331,ALICE ARM,55.47,-129.47,BC
446,1060446,ANYOX,55.42,-129.82,BC
447,1060810,BELLA BELLA,52.17,-128.15,BC
448,1060811,BELLA BELLA A,52.19,-128.16,BC
449,1060815,BELLA BELLA,52.19,-128.16,BC
450,1060820,BELLA BELLA SHEARWATER,52.15,-128.08,BC
451,1060840,BELLA COOLA,52.37,-126.69,BC
