StationID,StationName,Latitude (Decimal Degrees),Longitude (Decimal Degrees),StationProvinceShort
259,ALBERNI MCCOY LAKE,49.28,-124.88,BC
260,ALBERNI ROBERTSON CREEK,49.34,-124.98,BC
261,AMPHITRITE POINT,48.92,-125.53,BC
262,AMPHITRITE POINT,48.92,-125.54,BC
263,ASH RIVER,49.47,-125.08,BC
264,ASH RIVER GENERATING STN,49.37,-125.15,BC
265,BAMFIELD,48.83,-125.1,BC
266,BAMFIELD EAST,48.83,-125.12,BC
267,BAMFIELD WEST,48.83,-125.15,BC
268,BENSON LAKE,50.37,-127.23,BC
269,BULL HARBOUR,50.92,-127.95,BC
270,CAPE BEALE LIGHT,48.79,-125.22,BC
271,CAPE SCOTT,50.8,-128.45,BC
272,CAPE SCOTT,50.78,-128.43,BC
273,CARMANAH,48.63,-124.78,BC
274,CARMANAH POINT,48.61,-124.75,BC
275,CARNATION CREEK CDF,48.9,-125.0,BC
276,CLAYOQUOT,49.15,-125.9,BC
277,CONUMA RIVER HATCHERY,49.8,-126.42,BC
278,ELK LAKE JEUNE LANDING,50.37,-127.3,BC
279,ESTEVAN POINT,49.38,-126.54,BC
280,ESTEVAN POINT CS,49.38,-126.54,BC
281,GOLD RIVER,49.67,-126.17,BC
282,GOLD RIVER TOWNSITE,49.78,-126.06,BC
283,GREAT CENTRAL LAKE,49.35,-125.15,BC
284,HENDERSON LAKE,49.13,-125.13,BC
285,HENDERSON LAKE HATCHERY,49.13,-125.14,BC
286,HERBERT INLET,49.4,-125.9,BC
287,HOLBERG,50.65,-128.0,BC
288,HOLBERG,50.65,-128.0,BC
289,HOLBERG CCR,50.63,-128.12,BC
290,HOLBERG FIRE DEPT,50.65,-127.98,BC
291,HOLBERG PUMP HOUSE,50.65,-128.0,BC
292,KENNEDY LAKE,49.13,-125.63,BC
293,KILDONAN,49.0,-125.0,BC
294,KILDONAN FATTY BASIN,48.98,-125.02,BC
295,KYUQUOT,50.03,-127.37,BC
296,LENNARD ISLAND,49.11,-125.92,BC
297,LOWRY LAKE,49.43,-125.13,BC
298,LAWN POINT (AUT),50.33,-127.97,BC
299,NITINAT LAKE,48.75,-124.75,BC
300,NITINAT RIVER HATCHERY,48.86,-124.66,BC
301,NOOTKA LIGHTSTATION,49.6,-126.62,BC
302,PACHENA POINT,48.72,-125.1,BC
303,PORT ALBERNI,49.23,-124.8,BC
304,PORT ALBERNI A,49.25,-124.83,BC
305,PORT ALBERNI CHINA CREEK,49.23,-124.78,BC
306,PORT ALBERNI COX LAKE,49.2,-124.75,BC
307,PORT ALBERNI REDFORD,49.25,-124.8,BC
308,PORT ALBERNI SHUHUM CREEK,49.3,-124.93,BC
309,PORT ALICE,50.39,-127.46,BC
310,PORT ALICE TOWNSITE,50.43,-127.48,BC
311,QUATSINO,50.53,-127.65,BC
312,QUATSINO LIGHTSTATION,50.44,-128.03,BC
313,RUMBLE BEACH,50.43,-127.48,BC
314,PORT ALBERNI (AUT),49.32,-124.93,BC
315,SARTINE ISLAND (AUT),50.82,-128.91,BC
316,SOLANDER ISLAND (AUT),50.11,-127.94,BC
317,SPRING ISLAND,50.0,-127.42,BC
318,TAHSIS,49.92,-126.65,BC
319,TAHSIS VILLAGE NORTH,49.93,-126.65,BC
320,TOFINO A,49.08,-125.77,BC
321,TOFINO A,49.08,-125.77,BC
322,TOFINO CATFACE MOUNTAIN,49.27,-125.97,BC
323,TOFINO VILLAGE,49.15,-125.91,BC
324,TOFINO A,49.08,-125.77,BC
325,TRIANGLE ISLAND,50.87,-129.08,BC
326,UCLUELET,48.97,-125.53,BC
327,UCLUELET BRYNNOR MINES,49.05,-125.43,BC
328,UCLUELET KENNEDY CAMP,48.95,-125.53,BC
329,WINTER HARBOUR,50.52,-128.03,BC
330,ZEBALLOS,49.98,-126.85,BC
331,ZEBALLOS MURAUDE CREEK,50.05,-126.78,BC
332,ZEBALLOS IRON MINES,50.03,-126.82,BC
333,NITINAT LAKE (AUT),48.67,-124.83,BC
334,ALTA LAKE,50.15,-122.95,BC
335,ALTA LAKE NORTHAIR MINE,50.12,-123.1,BC
336,ALTA LAKE 2,50.15,-122.98,BC
337,ANVIL ISLAND,49.52,-123.3,BC
338,BOWEN ISLAND,49.35,-123.42,BC
339,BOWEN ISL ARBUTUS BAY,49.33,-123.38,BC
340,BOWEN ISLAND BOWEN BAY,49.36,-123.42,BC
341,BOWEN ISLAND CATES BAY,49.41,-123.32,BC
342,BOWEN ISLAND JOSEPHINE RIDGE,49.37,-123.38,BC
343,BOWEN ISLAND SUNSET PARK,49.36,-123.4,BC
344,BOWEN ISLAND MILLERS LDG,49.39,-123.33,BC
345,BOWEN ISLAND KILLARNEY LAKE,49.4,-123.37,BC
346,BRITANNIA BEACH FURRY CR,49.58,-123.22,BC
347,BUCCANEER BAY,49.48,-123.97,BC
348,CAPILANO INTAKE,49.4,-123.15,BC
349,CHEEKYE,49.8,-123.15,BC
350,CLOWHOM FALLS,49.72,-123.53,BC
351,DAISY LAKE DAM,49.98,-123.13,BC
352,DESERTED BAY,50.1,-123.73,BC
353,GAMBIER HARBOUR,49.44,-123.43,BC
354,GARIBALDI,49.98,-123.13,BC
355,GIBSONS,49.4,-123.51,BC
356,GIBSONS GOWER POINT,49.39,-123.54,BC
357,GRIEF POINT,49.8,-124.53,BC
358,HALFMOON BAY,49.52,-123.92,BC
359,HALFMOON BAY MIDDLE PT,49.58,-124.0,BC
360,HALFMOON BAY,49.52,-123.9,BC
361,HOLLYBURN,49.32,-123.17,BC
362,HOPKINS LANDING,49.47,-123.48,BC
363,JERVIS INLET VANC BAY,49.92,-123.87,BC
364,LOIS LAKE,49.87,-124.15,BC
365,LOIS RIVER DAM,49.8,-124.32,BC
366,LUND,49.98,-124.77,BC
367,MALIBU JERVIS INLET,50.17,-123.85,BC
368,MERRY ISLAND LIGHTSTATION,49.47,-123.91,BC
369,MERRY ISLAND,49.47,-123.92,BC
370,NELSON ISLAND,49.7,-124.08,BC
371,PARADISE VALLEY,49.82,-123.15,BC
372,HOWE SOUND - PAM ROCKS,49.49,-123.3,BC
373,PENDER HARBOUR,49.63,-124.03,BC
374,PORT MELLON,49.52,-123.48,BC
375,PORT MELLON,49.53,-123.5,BC
376,POWELL LAKE,50.1,-124.47,BC
377,POWELL RIVER,49.88,-124.55,BC
378,POWELL RIVER A,49.83,-124.5,BC
379,POWELL RIVER,49.83,-124.5,BC
380,POWELL RIVER A,49.83,-124.5,BC
381,POWELL RIVER A,49.83,-124.5,BC
382,POWELL RIVER GRIEF POINT,49.8,-124.52,BC
383,POWELL RIVER WESTVIEW,49.83,-124.52,BC
384,ROBERTS CREEK,49.4,-123.68,BC
385,ROBERTS CREEK EAST,49.43,-123.62,BC
386,SECHELT,49.47,-123.77,BC
387,SECHELT AUT,49.46,-123.72,BC
388,SECHELT SANDY HOOK,49.53,-123.77,BC
389,SECHELT 5WEST,49.47,-123.81,BC
390,SQUAMISH,49.7,-123.13,BC
391,SQUAMISH FMC CHEMICALS,49.68,-123.17,BC
392,SQUAMISH ST DAVIDS,49.75,-123.0,BC
393,SQUAMISH STP,49.73,-123.15,BC
394,SQUAMISH STP CENTRAL,49.7,-123.16,BC
395,SQUAMISH UPPER,49.9,-123.28,BC
396,SQUAMISH 10 MILE,49.82,-123.2,BC
397,SQUAMISH AIRPORT,49.78,-123.16,BC
398,STILLWATER POWER HOUSE,49.77,-124.32,BC
399,SQUAMISH GARIBALDI,49.73,-123.15,BC
400,SQUAMISH AIRPORT,49.78,-123.16,BC
401,TEXADA ISLAND A,49.7,-124.52,BC
402,TUNNEL CAMP,49.62,-123.13,BC
403,WEST REDONDA ISLAND,50.25,-124.82,BC
404,WHISTLER,50.13,-122.95,BC
405,WHISTLER A,50.13,-122.95,BC
406,WOODFIBRE,49.58,-123.89,BC
407,WOODFIBRE HENRIETTA LK,49.68,-123.32,BC
408,SQUAMISH ASHLU CREEK,49.95,-123.42,BC
409,HARDY ISLAND,49.73,-124.18,BC
410,SQUAMISH PARADISE VALLEY,49.83,-123.15,BC
411,CAPE ST JAMES,51.93,-131.02,BC
412,CAPE ST JAMES,51.94,-131.02,BC
413,CINOLA MINE SITE,53.5,-132.13,BC
414,DEAD TREE POINT,53.37,-131.93,BC
415,EDEN LAKE,53.87,-132.73,BC
416,HOSKINS ISLET,52.53,-131.55,BC
417,IKEDA BAY,52.28,-131.12,BC
418,KINDAKUN ROCKS (AUT),53.32,-132.77,BC
419,LANGARA,54.26,-133.06,BC
420,LANGARA ISLAND RCS,54.26,-133.06,BC
421,MASSET AIRPORT,54.02,-132.12,BC
422,MASSET A,54.03,-132.13,BC
423,MASSET A,54.0,-132.17,BC
424,MASSET INDIAN DAY SCHOOL,54.03,-132.18,BC
425,MASSET A,54.03,-132.13,BC
426,MASSET CFS,54.03,-132.07,BC
427,MASSET TOW HILL,54.03,-131.97,BC
428,MORESBY ISLAND MITCHELL INLET,52.93,-132.13,BC
429,PALLANT CREEK,53.05,-132.05,BC
430,PORT CLEMENTS,53.68,-132.18,BC
431,QUEEN CHARLOTTE CITY,53.25,-132.08,BC
432,RENNELL SOUND,53.3,-132.42,BC
433,ROSE SPIT (AUT),54.16,-131.66,BC
434,SANDSPIT A,53.25,-131.81,BC
435,SANDSPIT AIRPORT AUTO,53.25,-131.81,BC
436,SANDSPIT,53.25,-131.81,BC
437,SANDSPIT AWOS,53.25,-131.81,BC
438,SCUDDER POINT,52.45,-131.23,BC
439,SEWELL INLET,52.88,-131.98,BC
440,TASU SOUND,52.77,-132.05,BC
441,TLELL,53.5,-131.95,BC
442,SEWALL MASSET INLET,53.76,-132.3,BC
443,ADDENBROKE ISLAND,51.6,-127.86,BC
444,ALICE ARM,55.68,-129.5,BC
445,ALICE ARM,55.47,-129.47,BC
446,ANYOX,55.42,-129.82,BC
447,BELLA BELLA,52.17,-128.15,BC
448,BELLA BELLA A,52.19,-128.16,BC
449,BELLA BELLA,52.19,-128.16,BC
450,BELLA BELLA SHEARWATER,52.15,-128.08,BC
451,BELLA COOLA,52.37,-126.69,BC
452,BELLA COOLA A,52.39,-126.6,BC
453,BELLA COOLA BC HYDRO,52.37,-126.82,BC
454,BELLA COOLA AIRPORT,52.39,-126.59,BC
455,BELLA COOLA A,52.39,-126.6,BC
456,BELLA COOLA A,52.39,-126.6,BC
457,BOAT BLUFF,52.64,-128.52,BC
458,BONILLA ISLAND,53.49,-130.64,BC
459,BONILLA ISLAND (AUT),53.49,-130.64,BC
460,BUTEDALE,53.15,-128.7,BC
461,CATHEDRAL POINT (AUT),52.19,-127.47,BC
462,CUMSHEWA ISLAND,53.03,-131.6,BC
463,DAWSONS LANDING,51.58,-127.58,BC
464,DRYAD POINT,52.19,-128.11,BC
465,EAST CRACROFT ISL,50.6,-126.32,BC
466,EGG ISLAND,51.25,-127.84,BC
467,ETHELDA BAY,53.05,-129.68,BC
468,FALLS RIVER,53.98,-129.73,BC
469,FIRVALE,52.45,-126.3,BC
470,GENESEE RIVER,51.67,-126.75,BC
471,GREEN ISLAND,54.57,-130.71,BC
472,GREY ISLET (AUT),54.58,-130.7,BC
473,HARTLEY BAY,53.42,-129.25,BC
474,HERBERT ISLAND (AUT),50.94,-127.63,BC
475,HOLLAND ROCK,54.17,-130.36,BC
476,IVORY ISLAND,52.27,-128.41,BC
477,KEMANO,53.56,-127.94,BC
478,KILDALA,53.83,-128.48,BC
479,KINGCOME INLET,50.95,-126.2,BC
480,KITIMAT,54.05,-128.68,BC
481,KITIMAT,54.0,-128.7,BC
482,KITIMAT MISSION,53.98,-128.65,BC
483,KITIMAT TOWNSITE,54.05,-128.63,BC
484,KITIMAT 2,54.01,-128.71,BC
485,KITIMAT 3,54.06,-128.64,BC
486,KITIMAT FOREST AVE,54.05,-128.63,BC
487,KITSAULT MINESITE,55.43,-129.47,BC
488,KNIGHT INLET,51.1,-125.58,BC
489,LAKELSE LAKE,54.4,-128.52,BC
490,LAWYER ISLAND,54.12,-130.35,BC
491,LUCY ISLAND LIGHTSTATION,54.3,-130.61,BC
492,MCINNES ISLAND,52.26,-128.72,BC
493,MILL BAY,55.0,-129.75,BC
494,MINSTREL ISLAND,50.62,-126.32,BC
495,NAAS HARBOUR,54.93,-129.93,BC
496,NAMU,51.87,-127.87,BC
497,OCEAN FALLS,52.35,-127.68,BC
498,PACIFIC,54.77,-128.27,BC
499,POINTER ISLAND,52.07,-127.95,BC
500,PORT SIMPSON,54.57,-130.43,BC
501,PREMIER,56.05,-130.02,BC
502,PRINCE RUPERT,54.28,-130.38,BC
503,PRINCE RUPERT A,54.29,-130.44,BC
504,PRINCE RUPERT,54.29,-130.44,BC
505,PRINCE RUPERT AWOS,54.29,-130.44,BC
506,PRINCE RUPERT FERN PASS,54.32,-130.27,BC
507,PRINCE RUPERT MONT CIRC,54.32,-130.29,BC
508,PRINCE RUPERT R PARK,54.3,-130.33,BC
509,PRINCE RUPERT SHAWATLANS,54.33,-130.25,BC
510,RIVERS INLET,51.67,-127.35,BC
511,RIVERS INLET GOOD HOPE,51.6,-127.5,BC
512,ROSSWOOD,54.78,-128.77,BC
513,ROY,50.5,-125.53,BC
514,PHILLIPS ARM,50.55,-125.37,BC
515,PORT EDWARD,54.2,-130.23,BC
516,SALVUS CAMP,54.3,-129.37,BC
517,SHAWL BAY,50.85,-126.57,BC
518,STEWART,55.95,-129.98,BC
519,STEWART A,55.93,-129.98,BC
520,STEWART A,55.94,-129.99,BC
521,STEWART BCHPA,55.95,-129.98,BC
522,STEWART A,55.93,-129.98,BC
523,STUIE TWEEDSMUIR LODGE,52.37,-126.07,BC
524,SURF INLET,52.47,-129.03,BC
525,SWANSON BAY,53.03,-128.5,BC
526,SWANSON BAY,50.62,-126.88,BC
527,TERRACE,54.52,-128.58,BC
528,TERRACE A,54.47,-128.58,BC
